p,4335
v,2653
z,2162
k,2052
m,1811
p sz,1522
r,1483
n,1389
b,1231
d,1003
l,911
t,868
j,773
g,614
x,602
s,590
ni,534
rz,444
s t,427
k r,411
w,379
dzi,377
f,375
cz,370
s p,370
p j,365
v j,344
p r,340
sz,338
c,331
ci,327
si,305
t r,266
s k,257
g r,249
m j,248
s w,227
b r,206
k l,196
d r,190
p w,175
p l,172
v w,146
z w,140
zi,139
s t r,137
b j,133
g w,121
k sz,121
z d,119
g rz,118
z m,117
sz cz,116
ki,115
z n,107
s m,106
si f j,103
k w,102
t sz,99
si ci,94
si l,89
z b,88
z g,86
v r,86
z r,82
si m j,79
z j,78
z v,78
s p sz,76
ki j,75
s p r,74
k si,74
b l,73
z v j,68
f s t,67
z m j,67
f r,67
s k sz,62
s x,60
f p,59
d v,58
si p j,57
p s,54
b w,52
s t sz,51
b rz,51
x w,49
sz p,48
z ni,47
t w,46
gi,46
si ni,46
x r,46
k f,46
si r,44
s k r,44
t f,42
m w,42
x l,40
d w,40
v rz,39
k f j,38
s f,38
f l,38
s k w,37
g ni,37
sz k,36
z b j,36
f s,35
si f,34
v l,33
x f,33
x ci,31
g v,29
g l,29
z l,29
z d r,29
f s k,29
m l,29
dz v,28
f s p,28
s k l,28
k t,28
f si,27
f sz,27
p si,27
p t,27
v zi,25
f ci,25
sz n,24
g v j,24
sz k l,24
sz t,23
sz m,23
d rz,23
cz f,22
m r,22
z d j,20
s r,20
v n,20
d j,20
f x,20
g d,19
f k w,19
s p w,19
s t w,18
drz,18
sz l,18
f j,18
cz t,18
z v r,17
z rz,17
x m,17
f cz,17
z g ni,16
d m,16
sz f,15
zi r,15
v b,15
ci f,15
m ni,15
s t f,14
z dzi,14
s p j,14
si p,13
p x,13
f si ci,13
f k r,12
f p r,12
z gi,12
gi j,12
s c,12
f t,12
p sz cz,12
cz w,12
t x,11
si m,11
x sz,11
v d,11
g dzi,10
z b r,10
p s t r,10
s s,10
s si,10
t l,9
t r v,9
rz w,9
dzi v,9
s l,9
s n,9
z g r,9
l v,8
sz w,8
r v,8
m n,8
d ni,8
c m,8
c f,8
z g w,8
v z,8
d l,8
dz b,8
t k,7
t j,7
g n,7
s t f j,7
x c,7
m sz,7
b z d,6
b z,6
dzi v j,6
z gi j,6
dz,6
x sz ci,6
s sz,6
v z r,6
k n,6
ci f j,6
z g rz,6
g z,5
f k l,5
f p w,5
w z,5
k l j,5
t sz ci,5
z d m,5
f s x,5
c n,5
f k,4
p ni,4
s cz,4
s ci,4
m g w,4
rz m,4
z b l,4
t ni,4
t f j,4
k r v,4
v z m,4
s x r,4
s k f,4
b rz d,4
d b,4
k sz t,4
sz r,3
p x w,3
sz p r,3
v z g,3
t r j,3
r j,3
rz v,3
cz ci,3
s p s,3
f t r,3
rz ni,3
d rz v,3
sz ki j,3
x j,3
r dz,3
f s p j,3
l rz,3
sz k w,3
v z g l,3
cz k,3
ci m,3
f s t r,3
sz t r,3
v b r,2
t n,2
l n,2
g m,2
p x n,2
b r v j,2
m g l,2
s m r,2
g rz m,2
d rz v j,2
v m,2
r t,2
g rz b j,2
cz x,2
r rz,2
s p l,2
d r v,2
k r v j,2
m x,2
l si ni,2
r rz n,2
z d rz,2
zi l,2
m dz d,2
z v w,2
b rz m j,2
c l,2
d v j,2
s f j,2
l ni,2
f c,2
z m ni,2
s x f,2
v z b r,2
x f j,2
v dzi,2
s k n,2
b zi,2
d n,2
v m j,2
k ci,2
v b j,1
b z v,1
l j,1
t sz n,1
v z ni,1
w b,1
z v l,1
f p j,1
g rz j,1
sz j,1
z z,1
si w,1
f x sz,1
cz m,1
sz p j,1
m rz,1
rz j,1
rz l,1
rz n,1
rz b,1
rz r,1
g dz,1
s ni,1
t sz m j,1
z b w,1
m d l,1
v ni,1
l v j,1
z d l,1
f s t sz,1
f sz cz,1
m k ni,1
f s r,1
b d,1
t k ni,1
t k f,1
m k n,1
v v j,1
w g,1
v z d w,1
v z d r,1
k m j,1
s x ni,1
g zi,1
z n l,1
b r v,1
k r t,1
v gi j,1
v x dzi,1
z m r,1
ci m j,1
x sz cz,1
v d r,1
p s t,1
sz p ci,1
k m,1
x m j,1
v z n,1
v z b,1
w b j,1
v g,1
cz l,1
cz j,1
v v,1
s x w,1
x sz t,1
n z,1
drz drz,1
v g ni,1
b rz m,1
p ci,1
f si r,1
d z,1
t s t,1
v g w,1
r rz ni,1
